"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61174";"ALTAIR";"61174";"ALTAIR";-3;13;"Vereador";2614;0;0;0;0;2263;0;351;"N";0;0;0;2041;3;0;0;0;0;0;0;0;0;167;0;52;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61182";"EMBAUBA";"61182";"EMBAUBA";-3;11;"Prefeito";1937;0;0;0;0;1831;0;106;"N";0;0;0;1801;0;0;0;0;0;0;0;0;0;13;0;17;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61190";"ALTINOPOLIS";"61190";"ALTINOPOLIS";-3;11;"Prefeito";10412;0;0;0;0;9033;0;1379;"N";0;0;0;8251;0;0;0;0;0;0;0;0;0;356;0;426;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61182";"EMBAUBA";"61182";"EMBAUBA";-3;13;"Vereador";1937;0;0;0;0;1831;0;106;"N";0;0;0;1669;10;0;0;0;0;0;0;0;0;128;0;24;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61204";"ILHA SOLTEIRA";"61204";"ILHA SOLTEIRA";-3;11;"Prefeito";15615;0;0;0;0;12929;0;2686;"N";0;0;0;11939;0;0;0;0;0;0;0;0;0;199;0;791;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61190";"ALTINOPOLIS";"61190";"ALTINOPOLIS";-3;13;"Vereador";10412;0;0;0;0;9033;0;1379;"N";0;0;0;8090;18;0;0;0;0;0;0;0;0;601;0;324;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61204";"ILHA SOLTEIRA";"61204";"ILHA SOLTEIRA";-3;13;"Vereador";15615;0;0;0;0;12929;0;2686;"N";0;0;0;11503;122;0;0;0;0;0;0;0;0;700;0;604;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61212";"ALTO ALEGRE";"61212";"ALTO ALEGRE";-3;11;"Prefeito";4046;0;0;0;0;3529;0;517;"N";0;0;0;3340;0;0;0;0;0;0;0;0;0;56;0;133;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61220";"ALUMINIO";"61220";"ALUMINIO";-3;11;"Prefeito";10902;0;0;0;0;9721;0;1181;"N";0;0;0;9155;0;0;0;0;0;0;0;0;0;202;0;364;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61212";"ALTO ALEGRE";"61212";"ALTO ALEGRE";-3;13;"Vereador";4046;0;0;0;0;3529;0;517;"N";0;0;0;3151;9;0;0;0;0;0;0;0;0;252;0;117;0;0;"15:16:04";"27/10/2005"
