"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS"
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"67113";"MOCOCA";"67113";"MOCOCA";-3;11;"Prefeito";"#NE";29;"PCO";"Partido da Causa Operária";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61182";"EMBAUBA";"61182";"EMBAUBA";-3;11;"Prefeito";"#NE";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"67350";"MONTEIRO LOBATO";"67350";"MONTEIRO LOBATO";-3;11;"Prefeito";"#NE";23;"PPS";"Partido Popular Socialista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"64270";"FRANCISCO MORATO";"64270";"FRANCISCO MORATO";-3;11;"Prefeito";"#NE";23;"PPS";"Partido Popular Socialista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"71617";"TAGUAI";"71617";"TAGUAI";-3;11;"Prefeito";"#NE";20;"PSC";"Partido Social Cristão";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"66311";"LAVINIA";"66311";"LAVINIA";-3;11;"Prefeito";"#NE";19;"PTN";"Partido Trabalhista Nacional";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"63290";"CERQUEIRA CESAR";"63290";"CERQUEIRA CESAR";-3;11;"Prefeito";"#NE";22;"PL";"Partido Liberal";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"66834";"MARINOPOLIS";"66834";"MARINOPOLIS";-3;11;"Prefeito";"#NE";29;"PCO";"Partido da Causa Operária";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"67970";"OURO VERDE";"67970";"OURO VERDE";-3;11;"Prefeito";"#NE";25;"PFL";"Partido da Frente Liberal";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61433";"ANGATUBA";"61433";"ANGATUBA";-3;11;"Prefeito";"#NE";21;"PCB";"Partido Comunista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"69353";"QUATA";"69353";"QUATA";-3;11;"Prefeito";"#NE";17;"PSL";"Partido Social Liberal";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61840";"TAQUARIVAI";"61840";"TAQUARIVAI";-3;11;"Prefeito";"#NE";18;"PST";"Partido Social Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"65455";"ITAPECERICA DA SERRA";"65455";"ITAPECERICA DA SERRA";-3;11;"Prefeito";"#NE";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"69256";"PRESIDENTE BERNARDES";"69256";"PRESIDENTE BERNARDES";-3;11;"Prefeito";"#NE";26;"PAN";"Partido dos Aposentados da Nação";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
